floc,floc_description,work_order_id,work_order_basic_finish_date,work_order_desc,activity_type,level
BR200483-91-01,Bridge 13.310km TRACK 1,80113030,2023-07-13,SR_BBR GA Ingsdon North Ck 13.280-13.320,C20,Structure Track
BR200483-91-01,Bridge 13.310km TRACK 1,80113039,2023-07-14,SR_BBR GA Ingsdon North Ck 13.280-13.320,C20,Structure Track
BR200483-91-01,Bridge 13.310km TRACK 1,80113210,2023-07-21,TSR SUPP Ingsdon North Ck 13.280-13.320K,C20,Structure Track
BR200483-91-01,Bridge 13.310km TRACK 1,80107336,2023-07-27,BBR GA IGD-REM North Ck 13.280-13.320KM,C20,Structure Track
BR200483-91-01,Bridge 13.310km TRACK 1,80113623,2023-10-14,Ingsdon - Millennium Main C20 FOLLOW UP,C20,Structure Track
BR200486,Bridge 122.670km NPMC Two Mile Creek,80104524,2021-08-05,Middlemount Jnct C20,C20,Bridges
BR200486-91-01,Bridge 122.670km TRACK 1,80104263,2021-08-13,TC TSR MIJ 122.485-122.760KM,C20,Structure Track
BR200500-91-01,Bridge 106.300km TRACK 1,80114500,2023-08-11,C20-BR-GA-SANDY CK-MAIN-106.289KM.,C20,Structure Track
BR200534-91-01,Bridge 63.340km TRACK 1,80107154,2022-04-22,HAR-SAR BBR GA PO Support 63.302km,C20,Structure Track
BR200534-91-01,Bridge 63.340km TRACK 1,80107192,2022-04-29,SUPP HUGHES CK ISO H/S BND 63.302,C20,Structure Track
BR200534-91-01,Bridge 63.340km TRACK 1,80107084,2022-06-30,SAJ TSR Sup for Bridge Renewal 63.000km,C20,Structure Track
BR200534-91-01,Bridge 63.340km TRACK 1,80109855,2022-11-03,SR_Cab HUGHES CREEK.,C20,Structure Track
BR200534-91-01,Bridge 63.340km TRACK 1,80110109,2022-11-07,SR_BRIDGE ROLLOUTS Rwl - HUGHES CREEK,C20,Structure Track
BR200534-91-01,Bridge 63.340km TRACK 1,80110189,2022-11-16,Harrow - Saraji Main C20,C20,Structure Track
BR200534-91-01,Bridge 63.340km TRACK 1,80109947,2022-11-17,HRW-SRJ TSR Support 63.050km,C20,Structure Track
BR200534-91-01,Bridge 63.340km TRACK 1,80110110,2022-11-17,SR_BRIDGE ROLLOUTS Renewal HUGHES CREEK,C20,Structure Track
BR200534-91-01,Bridge 63.340km TRACK 1,80104144,2022-12-05,BBR GA HRW-SAJ Hughes Ck 63.302-63.378KM,C20,Structure Track
BR200534-91-01,Bridge 63.340km TRACK 1,80110670,2022-12-11,Harrow - Saraji Main C20,C20,Structure Track
BR200652-91-01,Bridge 9.514km TRACK 1,80108819,2022-07-21,DAL-PAS UP DCP Test 9.477km,C20,Structure Track
BR200652-91-01,Bridge 9.514km TRACK 1,80108863,2022-08-01,SR_ Cab DB-PS -UP-9.477K,C37,Structure Track
BR200652-91-01,Bridge 9.514km TRACK 1,80108270,2022-12-31,FY23 GA Grasstree Beach Up Rd DCP Only,C20,Structure Track
